price,type,sqfeet,beds,baths,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,pets_allowed
475,3,450,1,1,0,1,0,0,1,4,18,0
545,3,643,1,1,1,0,0,0,1,4,24,1
550,1,900,2,1,0,0,0,0,3,2,14,1
665,0,860,1,1,1,0,0,0,3,4,10,1
1025,2,845,2,1,1,0,0,0,3,4,37,0
990,1,1050,2,1,1,0,0,0,1,4,14,1
570,3,782,2,1,0,0,0,0,0,2,23,1
699,1,960,3,2,1,0,0,0,3,4,36,1
870,3,799,1,1,0,0,0,0,4,4,29,1
570,3,850,2,1,0,0,0,0,0,2,23,1
570,3,850,2,1,0,0,0,0,0,2,23,1
625,3,715,1,1,1,0,0,0,3,4,27,0
825,3,990,2,1,1,0,0,0,0,1,22,1
685,3,900,2,1,0,0,0,0,0,2,23,1
650,3,590,1,1,0,0,0,0,0,4,29,0
825,3,1025,2,1,1,0,0,0,0,1,22,1
735,2,756,2,1,1,0,0,0,0,4,35,1
657,3,855,2,1,1,0,0,0,3,4,12,0
1250,3,1300,3,2,0,0,0,0,4,0,23,1
825,3,950,2,1,1,0,0,0,0,1,22,0
1250,3,1300,3,2,0,0,0,0,4,2,23,1
2180,3,1305,2,2,0,1,0,0,4,0,22,0
1173,3,760,1,1,1,0,0,0,4,0,23,1
1250,3,1300,3,2,0,0,0,0,4,2,23,1
1690,3,1045,2,2,1,0,0,0,4,0,23,1
1295,3,1045,2,2,1,0,0,0,4,0,23,1
675,1,1100,3,1,0,0,0,0,3,1,18,1
685,3,1000,2,1,0,0,0,0,1,4,25,1
1400,3,1300,3,2,0,0,0,0,4,0,23,1
895,1,860,2,1,1,0,0,0,3,4,22,0
935,1,860,2,1,1,0,0,0,3,4,22,0
750,3,730,1,1,0,0,0,1,4,4,16,0
825,3,1090,2,1,1,0,0,0,4,1,22,1
575,0,800,1,1,0,0,0,0,3,4,14,1
575,0,800,1,1,0,0,0,0,3,4,14,1
795,3,860,2,2,1,1,0,0,3,4,25,1
745,3,990,1,1,1,0,0,0,4,1,22,1
2180,3,1305,2,2,0,1,0,0,4,0,22,0
1500,1,2200,5,3,0,0,0,0,3,0,27,0
935,2,1050,2,2,0,0,0,0,4,2,28,0
550,0,700,1,1,0,1,0,0,0,4,14,1
1950,3,1360,2,2,0,1,0,0,4,0,22,0
550,0,700,1,1,0,1,0,0,0,4,14,1
908,0,944,1,1,1,0,0,0,3,2,10,1
825,3,1265,3,2,0,0,0,0,3,4,16,0
650,0,700,1,1,0,0,0,0,3,2,14,1
